metric_type;metric_id;metric_name;metric_unit;metric_description;metric_id_parent;flag_name;flag_name_proper;flag_direction;flag_type;flag_e_s_g_plus;flag_tier;frameworks;active
flag;966bdb37-b148-40c0-8331-f1eb908038a7;LOW_CLEAN_INVESTMENTS_NEGATIVE_CONDUCT_E_TIER_3;;;b2a09dcf-c74e-4b08-a443-c65df6761636;LOW CLEAN INVESTMENTS;Low Clean Investments;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;2ea9c0f3-7682-44b1-8897-8f4dc3b205cf;NO_CLIMATE_RISK_ASSESSMENT_AVAILABLE_NEGATIVE_CONDUCT_E_TIER_2;;;ab8b8843-2be5-4bc7-bf0b-0c00d1766e7b;NO CLIMATE RISK ASSESSMENT AVAILABLE;No Climate Risk Assessment Available;NEGATIVE;CONDUCT;E;TIER_2;flags;1
flag;5306ea42-544d-4e10-94b0-0bf09e20afb4;NO_METHANE_CAPTURE_IN_OWN_OPERATIONS_NEGATIVE_CONDUCT_E_TIER_2;;;ab8b8843-2be5-4bc7-bf0b-0c00d1766e7b;NO METHANE CAPTURE IN OWN OPERATIONS;No Methane Capture in Own Operations;NEGATIVE;CONDUCT;E;TIER_2;flags;1
flag;3fbdd370-c5cc-4f44-ae74-cf51b5fe24ea;COAL_MINING_-_METALLURGICAL_NEGATIVE_PRODUCT_E_TIER_4;;;edf12ce8-2766-43e5-8fa5-2cf4f19a594d;COAL MINING - METALLURGICAL;Coal Mining - Metallurgical;NEGATIVE;PRODUCT;E;TIER_4;flags;1
flag;42c3483d-d769-48f0-88bf-5fca3b42c518;COAL_MINING_-_THERMAL_NEGATIVE_PRODUCT_E_TIER_4;;;edf12ce8-2766-43e5-8fa5-2cf4f19a594d;COAL MINING - THERMAL;Coal Mining - Thermal;NEGATIVE;PRODUCT;E;TIER_4;flags;1
flag;128cdb5a-6a1c-4ad8-beab-c02bef55b07c;COAL_POWER_NEGATIVE_PRODUCT_E_TIER_4;;;edf12ce8-2766-43e5-8fa5-2cf4f19a594d;COAL POWER;Coal Power;NEGATIVE;PRODUCT;E;TIER_4;flags;1
flag;8929a541-8052-41ab-9cbd-c4e02cf416e5;NATURAL_GAS_OR_COAL_UTILITIES_NEGATIVE_PRODUCT_E_TIER_3;;;cfffa39a-cccb-419f-93f7-c01700d1c459;NATURAL GAS OR COAL UTILITIES;Natural Gas or Coal Utilities;NEGATIVE;PRODUCT;E;TIER_3;flags;1
flag;9b2f8ae2-4e41-4297-91a9-3f6bfb290c5d;CLIMATE_RISK_ASSESSMENT_AVAILABLE_POSITIVE_CONDUCT_E_TIER_2;;;8477048d-a80e-4431-9436-4da22b6b3f87;CLIMATE RISK ASSESSMENT AVAILABLE;Climate Risk Assessment Available;POSITIVE;CONDUCT;E;TIER_2;flags;1
flag;577e57c0-5f0c-465f-addb-7f5d0d4f0529;HIGH_CLEAN_INVESTMENTS_POSITIVE_CONDUCT_E_TIER_3;;;42ab9b71-fa1c-4061-881b-8a1c4d795123;HIGH CLEAN INVESTMENTS;High Clean Investments;POSITIVE;CONDUCT;E;TIER_3;flags;1
flag;f6e3cf56-4ba7-4298-b86f-a3fd6f065b9c;LOW_CARBON_INTENSITY_POSITIVE_CONDUCT_E_TIER_2;;;8477048d-a80e-4431-9436-4da22b6b3f87;LOW CARBON INTENSITY;Low Carbon Intensity;POSITIVE;CONDUCT;E;TIER_2;flags;1
flag;7562e9b5-c10c-41ab-8585-e47b5e29dea6;GHG_EMISSIONS_REDUCTION_TARGETS_ON_TRACK_OR_MET_POSITIVE_CONDUCT_E_TIER_2;;;8477048d-a80e-4431-9436-4da22b6b3f87;GHG EMISSIONS REDUCTION TARGETS ON TRACK OR MET;GHG Emissions Reduction Targets On Track or Met;POSITIVE;CONDUCT;E;TIER_2;flags;1
flag;aaa0c43f-de78-412c-af7e-4cfbcf26a67d;NET_ZERO_SCIENCE_BASED_TARGETS_COMMITMENT_POSITIVE_CONDUCT_E_TIER_4;;;11465d7a-64db-449e-bb6f-ff483f21c902;NET ZERO SCIENCE BASED TARGETS COMMITMENT;Net Zero Science Based Targets Commitment;POSITIVE;CONDUCT;E;TIER_4;flags;1
flag;34e03b1f-2254-4ae7-97ab-f66ad80a5ccd;SCIENCE_BASED_TARGETS_NEAR_TERM_(1.5C)_POSITIVE_CONDUCT_E_TIER_3;;;bf39fb96-e736-404e-a430-6e30ede864f0;SCIENCE BASED TARGETS NEAR TERM (1.5C);Science Based Targets Near Term (1.5C);POSITIVE;CONDUCT;E;TIER_3;flags;1
flag;33652bdb-9364-4209-86f6-413cc1d3ed64;SCIENCE_BASED_TARGETS_NEAR_TERM_(2C)_POSITIVE_CONDUCT_E_TIER_3;;;bf39fb96-e736-404e-a430-6e30ede864f0;SCIENCE BASED TARGETS NEAR TERM (2C);Science Based Targets Near Term (2C);POSITIVE;CONDUCT;E;TIER_3;flags;1
flag;bb8900e1-db89-4a78-8d8e-c7aa5e5ac84e;SCIENCE_BASED_TARGETS_NEAR_TERM_(WB2C)_POSITIVE_CONDUCT_E_TIER_3;;;bf39fb96-e736-404e-a430-6e30ede864f0;SCIENCE BASED TARGETS NEAR TERM (WB2C);Science Based Targets Near Term (WB2C);POSITIVE;CONDUCT;E;TIER_3;flags;1
flag;f201200b-9ac8-48f6-a94d-8a147d5bd73d;SCIENCE_BASED_TARGETS_LONG_TERM_(1.5C)_POSITIVE_CONDUCT_E_TIER_3;;;bf39fb96-e736-404e-a430-6e30ede864f0;SCIENCE BASED TARGETS LONG TERM (1.5C);Science Based Targets Long Term (1.5C);POSITIVE;CONDUCT;E;TIER_3;flags;1
flag;20c71c0d-08d0-4667-b074-1678f51b54ba;METHANE_CAPTURE_IN_OWN_OPERATIONS_POSITIVE_CONDUCT_E_TIER_2;;;8477048d-a80e-4431-9436-4da22b6b3f87;METHANE CAPTURE IN OWN OPERATIONS;Methane Capture in Own Operations;POSITIVE;CONDUCT;E;TIER_2;flags;1
flag;ca887964-824d-42c2-b43c-6bc357a88feb;DISTRIBUTED_GENERATION_SYSTEMS_POSITIVE_PRODUCT_E_TIER_2;;;8477048d-a80e-4431-9436-4da22b6b3f87;DISTRIBUTED GENERATION SYSTEMS;Distributed Generation Systems;POSITIVE;PRODUCT;E;TIER_2;flags;1
flag;3f003d34-9e85-468a-a3ab-661f0b60c549;RENEWABLE_ENERGY_GENERATION_POSITIVE_PRODUCT_E_TIER_3;;;928620ce-6858-4a30-b9c8-70b9e873ffd8;RENEWABLE ENERGY GENERATION;Renewable Energy Generation;POSITIVE;PRODUCT;E;TIER_3;flags;1
flag;c687b160-08c8-44af-a3f9-6ed1cb591ebd;BIOMASS_POSITIVE_PRODUCT_E_TIER_4;;;3f003d34-9e85-468a-a3ab-661f0b60c549;BIOMASS;Biomass;POSITIVE;PRODUCT;E;TIER_4;flags;1
flag;e091898a-19fa-413b-ae5f-9efe4c1471ec;GEOTHERMAL_POSITIVE_PRODUCT_E_TIER_4;;;3f003d34-9e85-468a-a3ab-661f0b60c549;GEOTHERMAL;Geothermal;POSITIVE;PRODUCT;E;TIER_4;flags;1
flag;bf787797-816b-4ce3-975f-876f9b8e12b5;HYDROELECTRIC_POSITIVE_PRODUCT_E_TIER_4;;;3f003d34-9e85-468a-a3ab-661f0b60c549;HYDROELECTRIC;Hydroelectric;POSITIVE;PRODUCT;E;TIER_4;flags;1
flag;d0533e2b-24d3-4497-830f-18621773a27f;SOLAR_POSITIVE_PRODUCT_E_TIER_4;;;3f003d34-9e85-468a-a3ab-661f0b60c549;SOLAR;Solar;POSITIVE;PRODUCT;E;TIER_4;flags;1
flag;77333fae-199e-4f9d-9338-686ae324e41c;WIND_POSITIVE_PRODUCT_E_TIER_4;;;3f003d34-9e85-468a-a3ab-661f0b60c549;WIND;Wind;POSITIVE;PRODUCT;E;TIER_4;flags;1
flag;7f135b2b-e1ba-47a7-ac55-a05a6a819bc8;NO_COMMITMENT_AGAINST_BRIBERY_&_CORRUPTION_IN_SUPPLY_CHAIN_NEGATIVE_CONDUCT_G_TIER_3;;;13e7d7c6-e979-48f7-b0c9-5e02d88debc5;NO COMMITMENT AGAINST BRIBERY & CORRUPTION IN SUPPLY CHAIN;No Commitment Against Bribery & Corruption in Supply Chain;NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;1bf5ffe2-1637-4c18-8f5b-cddaf9f84159;NO_COMMITMENT_AGAINST_BRIBERY_&_CORRUPTION_IN_OWN_OPERATIONS_NEGATIVE_CONDUCT_G_TIER_3;;;13e7d7c6-e979-48f7-b0c9-5e02d88debc5;NO COMMITMENT AGAINST BRIBERY & CORRUPTION IN OWN OPERATIONS;No Commitment Against Bribery & Corruption in Own Operations;NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;3fb788d6-2e4d-4ddb-b37c-a6e05f575d6c;LOW_TRANSPARENCY_(GOVERNANCE_OF_BRIBERY_&_CORRUPTION)_NEGATIVE_CONDUCT_G_TIER_3;;;13e7d7c6-e979-48f7-b0c9-5e02d88debc5;LOW TRANSPARENCY (GOVERNANCE OF BRIBERY & CORRUPTION);Low Transparency (Governance of Bribery & Corruption);NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;e69b34bb-617f-43bf-a908-0e89614ec380;HIGH_CEO_TO_AVERAGE_WORKER_PAY_RATIO_(SECTOR_LAGGARDS)_NEGATIVE_CONDUCT_G_TIER_3;;;d4847cf3-5ac2-4856-a451-7533887ad5f5;HIGH CEO TO AVERAGE WORKER PAY RATIO (SECTOR LAGGARDS);High Ceo to Average Worker Pay Ratio (Sector Laggards);NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;3bce837a-e48e-4697-84ac-fae869feee5d;NO_BOARD_RESPONSIBILITY_FOR_DEFORESTATION_NEGATIVE_CONDUCT_G_TIER_3;;;6980527d-38a9-4f62-a2f2-616b4924aa49;NO BOARD RESPONSIBILITY FOR DEFORESTATION;No Board Responsibility for Deforestation;NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;a7788996-562f-4de3-82c7-579aa1e82d5f;NO_OVERALL_SUSTAINABILITY-LINKED_REMUNERATION_NEGATIVE_CONDUCT_G_TIER_3;;;f098c450-230a-454c-bef8-8b8408d94b08;NO OVERALL SUSTAINABILITY-LINKED REMUNERATION;No Overall Sustainability-Linked Remuneration;NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;a04e6739-83cb-4ce6-95c6-b2ac4b8d8324;REGULATORY_RISK_&_INFLUENCE_NEGATIVE_CONDUCT_G_TIER_2;;;0fdad021-dd98-4d93-b4bf-0f17bce8f58e;REGULATORY RISK & INFLUENCE;Regulatory Risk & Influence;NEGATIVE;CONDUCT;G;TIER_2;flags;1
flag;640c60e8-00bb-499c-a33c-01ee29919650;NO_COMPLIANCE_ASSESSMENTS_IN_SUPPLY_CHAINS_NEGATIVE_CONDUCT_G_TIER_3;;;a04e6739-83cb-4ce6-95c6-b2ac4b8d8324;NO COMPLIANCE ASSESSMENTS IN SUPPLY CHAINS;No Compliance Assessments in Supply Chains;NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;8dd70ccd-dc0a-4bf0-89c9-aae6b3ea76d1;MISSING_DISCLOSURES_TO_OPEN_TIMBER_PORTAL_NEGATIVE_CONDUCT_G_TIER_3;;;a04e6739-83cb-4ce6-95c6-b2ac4b8d8324;MISSING DISCLOSURES TO OPEN TIMBER PORTAL;Missing Disclosures to Open Timber Portal;NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;0f622b54-1ba7-476f-90ae-822a11ba2e00;LOW_TRANSPARENCY_(TAX_GOVERNANCE)_NEGATIVE_CONDUCT_G_TIER_3;;;a04e6739-83cb-4ce6-95c6-b2ac4b8d8324;LOW TRANSPARENCY (TAX GOVERNANCE);Low Transparency (Tax Governance);NEGATIVE;CONDUCT;G;TIER_3;flags;1
flag;f7080654-6010-40d4-8ba3-58ce39b65cbd;BOARD_RESPONSIBILITY_FOR_DEFORESTATION_POSITIVE_CONDUCT_G_TIER_3;;;bce70dc4-56b7-493b-993c-1d516f2a2445;BOARD RESPONSIBILITY FOR DEFORESTATION;Board Responsibility for Deforestation;POSITIVE;CONDUCT;G;TIER_3;flags;1
flag;7838f7a6-8606-4269-a503-cd6f662fce57;FAIR_EXECUTIVE_PAY_POSITIVE_CONDUCT_G_TIER_2;;;952374c3-f7fe-4646-9af7-66097f7632cd;FAIR EXECUTIVE PAY;Fair Executive Pay;POSITIVE;CONDUCT;G;TIER_2;flags;1
flag;ce3ae76e-f6e4-4a54-aa75-2e6c030b7c1b;OPTIMAL_CEO_TO_AVERAGE_WORKER_PAY_RATIO_POSITIVE_CONDUCT_G_TIER_3;;;7838f7a6-8606-4269-a503-cd6f662fce57;OPTIMAL CEO TO AVERAGE WORKER PAY RATIO;Optimal Ceo to Average Worker Pay Ratio;POSITIVE;CONDUCT;G;TIER_3;flags;1
flag;a2c70ffb-76d1-462b-8fe5-7ceedc14966b;LOW_CEO_TO_AVERAGE_WORKER_PAY_RATIO_(SECTOR_PIONEERS)_POSITIVE_CONDUCT_G_TIER_3;;;7838f7a6-8606-4269-a503-cd6f662fce57;LOW CEO TO AVERAGE WORKER PAY RATIO (SECTOR PIONEERS);Low Ceo to Average Worker Pay Ratio (Sector Pioneers);POSITIVE;CONDUCT;G;TIER_3;flags;1
flag;00a772d4-66ad-4139-9f74-883e654830fd;OVERALL_SUSTAINABILITY-LINKED_REMUNERATION_POSITIVE_CONDUCT_G_TIER_3;;;9da2568b-b704-4c02-813d-83bc0eb9e1c4;OVERALL SUSTAINABILITY-LINKED REMUNERATION;Overall Sustainability-Linked Remuneration;POSITIVE;CONDUCT;G;TIER_3;flags;1
flag;39b68a45-c734-494e-baf8-9d934ca31cc9;NATURAL_CAPITAL_CONTESTED_NONE_E_TIER_1;;;dcc24f17-c863-4fee-ae3c-89555eea7a3a;NATURAL CAPITAL;Natural Capital;CONTESTED;;E;TIER_1;flags;1
flag;fbbb906a-ca39-4013-8d8a-85140f577359;BIODIVERSITY_IMPACTING_ACTIVITIES_CONTESTED_PRODUCT_E_TIER_2;;;39b68a45-c734-494e-baf8-9d934ca31cc9;BIODIVERSITY IMPACTING ACTIVITIES;Biodiversity Impacting Activities;CONTESTED;PRODUCT;E;TIER_2;flags;0
flag;bde752eb-1ce0-412e-8f36-3ae3cff7ec3a;COTTON_PRODUCTION_CONTESTED_PRODUCT_E_TIER_3;;;fbbb906a-ca39-4013-8d8a-85140f577359;COTTON PRODUCTION;Cotton Production;CONTESTED;PRODUCT;E;TIER_3;flags;0
flag;e28e7866-253d-4141-8efd-310813d3736e;MARINE_DREDGING_CONTESTED_PRODUCT_E_TIER_3;;;fbbb906a-ca39-4013-8d8a-85140f577359;MARINE DREDGING;Marine Dredging;CONTESTED;PRODUCT;E;TIER_3;flags;0
flag;dd4ad1bd-b0cd-4b6d-a6a8-eb830cc9bc69;EXTRACTIVE_ACTIVITIES_CONTESTED_PRODUCT_E_TIER_3;;;fbbb906a-ca39-4013-8d8a-85140f577359;EXTRACTIVE ACTIVITIES;Extractive Activities;CONTESTED;PRODUCT;E;TIER_3;flags;0
flag;dcf480bb-5362-43b0-9814-5575eda19882;GOLD_ORE_MINING_CONTESTED_PRODUCT_E_TIER_4;;;dd4ad1bd-b0cd-4b6d-a6a8-eb830cc9bc69;GOLD ORE MINING;Gold Ore Mining;CONTESTED;PRODUCT;E;TIER_4;flags;0
flag;995016cf-4038-48f2-bb88-87d4d62a1d40;PRECIOUS_METALS_MINING_CONTESTED_PRODUCT_E_TIER_4;;;dd4ad1bd-b0cd-4b6d-a6a8-eb830cc9bc69;PRECIOUS METALS MINING;Precious Metals Mining;CONTESTED;PRODUCT;E;TIER_4;flags;0
flag;3f7f4d52-fd12-4d99-b353-49d832ec5864;PRECIOUS_METALS_ROYALTIES_(SPECIALISED_FINANCIERS)_&_STREAMING_CONTESTED_PRODUCT_E_TIER_4;;;dd4ad1bd-b0cd-4b6d-a6a8-eb830cc9bc69;PRECIOUS METALS ROYALTIES (SPECIALISED FINANCIERS) & STREAMING;Precious Metals Royalties (Specialised Financiers) & Streaming;CONTESTED;PRODUCT;E;TIER_4;flags;0
flag;a449bb95-b2a3-4477-bb8f-dd471064caee;CHEMICALS_FOR_AGRICULTURE_CONTESTED_PRODUCT_E_TIER_2;;;39b68a45-c734-494e-baf8-9d934ca31cc9;CHEMICALS FOR AGRICULTURE;Chemicals for Agriculture;CONTESTED;PRODUCT;E;TIER_2;flags;1
flag;cfb06a94-bb79-42b3-bba6-616d38cbf291;PRIORITY_EMISSIONS_-_PM,_NOX,_SOX,_VOC_(SECTOR_LAGGARDS)_NEGATIVE_CONDUCT_E_TIER_3;;;7011db45-bbf9-4221-b353-0c7836a49b81;PRIORITY EMISSIONS - PM, NOX, SOX, VOC (SECTOR LAGGARDS);Priority Emissions - PM, NOx, SOx, VOC (Sector Laggards);NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;ba657cd3-1a49-45cc-be67-24f4a32e1693;POOR_SOIL_MANAGEMENT_NEGATIVE_CONDUCT_E_TIER_3;;;ff3fefbf-5608-41b7-aa3d-9bba97303629;POOR SOIL MANAGEMENT;Poor Soil Management;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;b3458dba-a399-493b-8fc0-d587d8c45550;NO_MONITORING_OF_COMPLIANCE_WITH_DEFORESTATION_POLICIES_NEGATIVE_CONDUCT_E_TIER_4;;;e6e4e671-44a1-4b59-b5ca-d98dd43ad2a8;NO MONITORING OF COMPLIANCE WITH DEFORESTATION POLICIES;No Monitoring of Compliance with Deforestation Policies;NEGATIVE;CONDUCT;E;TIER_4;flags;1
flag;30e6bacd-c32e-4cd7-bba5-747117a41f9b;NO_EXPECTATION_FOR_ALL_SUPPLIER_OPERATIONS_TO_BE_DEFORESTATION_&_CONVERSION_FREE_NEGATIVE_CONDUCT_E_TIER_4;;;e6e4e671-44a1-4b59-b5ca-d98dd43ad2a8;NO EXPECTATION FOR ALL SUPPLIER OPERATIONS TO BE DEFORESTATION & CONVERSION FREE;No Expectation for All Supplier Operations to be Deforestation & Conversion Free;NEGATIVE;CONDUCT;E;TIER_4;flags;1
flag;32ba3182-4c70-4559-8403-d2b8d7bc7854;NO_DEFORESTATION_&_CONVERSION_FREE_PROCUREMENT_POLICY_NEGATIVE_CONDUCT_E_TIER_4;;;e6e4e671-44a1-4b59-b5ca-d98dd43ad2a8;NO DEFORESTATION & CONVERSION FREE PROCUREMENT POLICY;No Deforestation & Conversion Free Procurement Policy;NEGATIVE;CONDUCT;E;TIER_4;flags;1
flag;d6e1e8b7-51fd-4648-95c5-3096101d2bfd;NO_NATURAL_CAPITAL_ASSESSMENT_FOR_OWN_OPERATIONS_NEGATIVE_CONDUCT_E_TIER_3;;;5e23895c-3773-4278-b799-4f596024f69a;NO NATURAL CAPITAL ASSESSMENT FOR OWN OPERATIONS;No Natural Capital Assessment for Own Operations;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;68ef0d45-5c19-43de-99c9-0ddbaf0180b9;COMPANIES_WITH_ONE_OR_MORE_ELEMENTS_OF_POOR_CHEMICAL-USE_MANAGEMENT_NEGATIVE_CONDUCT_E_TIER_3;;;5e23895c-3773-4278-b799-4f596024f69a;COMPANIES WITH ONE OR MORE ELEMENTS OF POOR CHEMICAL-USE MANAGEMENT;Companies With One or More Elements Of Poor Chemical-Use Management;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;0296d04b-fe5e-45ae-8134-09cafb4314a1;NO_COMMITMENT_TO_REDUCE_THE_USE_OF_CHEMICALS_IN_OWN_OPERATIONS_NEGATIVE_CONDUCT_E_TIER_4;;;68ef0d45-5c19-43de-99c9-0ddbaf0180b9;NO COMMITMENT TO REDUCE THE USE OF CHEMICALS IN OWN OPERATIONS;No Commitment to Reduce the Use of Chemicals in Own Operations;NEGATIVE;CONDUCT;E;TIER_4;flags;1
flag;731e2999-44a1-4ae1-8fab-eaf89a219c80;NO_COMMITMENT_TO_REDUCE_THE_USE_OF_CHEMICALS_IN_SUPPLY_CHAINS_NEGATIVE_CONDUCT_E_TIER_4;;;68ef0d45-5c19-43de-99c9-0ddbaf0180b9;NO COMMITMENT TO REDUCE THE USE OF CHEMICALS IN SUPPLY CHAINS;No Commitment to Reduce the Use of Chemicals in Supply Chains;NEGATIVE;CONDUCT;E;TIER_4;flags;1
flag;26f86a12-205f-4799-9ab1-fc61ec333557;NO_COMMITMENT_TO_NO_USE_OF_HARMFUL_CHEMICALS_IN_SUPPLY_CHAINS_NEGATIVE_CONDUCT_E_TIER_4;;;68ef0d45-5c19-43de-99c9-0ddbaf0180b9;NO COMMITMENT TO NO USE OF HARMFUL CHEMICALS IN SUPPLY CHAINS;No Commitment to no Use of Harmful Chemicals in Supply Chains;NEGATIVE;CONDUCT;E;TIER_4;flags;1
flag;d9b68e2e-89f5-4dd1-81d0-e8570ec0a9ab;NO_COMMITMENT_TO_NO_USE_OF_HARMFUL_CHEMICALS_IN_OWN_OPERATIONS_NEGATIVE_CONDUCT_E_TIER_4;;;68ef0d45-5c19-43de-99c9-0ddbaf0180b9;NO COMMITMENT TO NO USE OF HARMFUL CHEMICALS IN OWN OPERATIONS;No Commitment to no Use of Harmful Chemicals in Own Operations;NEGATIVE;CONDUCT;E;TIER_4;flags;1
flag;001e0b7a-33b5-4c88-a7d6-8faaf4ed8f97;INSUFFICIENT_ENVIRONMENTAL_IMPACT_ASSESSMENT_FOR_OWN_OPERATIONS_NEGATIVE_CONDUCT_E_TIER_3;;;5e23895c-3773-4278-b799-4f596024f69a;INSUFFICIENT ENVIRONMENTAL IMPACT ASSESSMENT FOR OWN OPERATIONS;Insufficient Environmental Impact Assessment for Own Operations;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;a15d5f82-4b56-4e1e-b408-8758dc10fc91;NO_COMMITMENT_TO_UNDERTAKE_ENVIRONMENTAL_IMPACT_ASSESSMENT_IN_SUPPLY_CHAINS_NEGATIVE_CONDUCT_E_TIER_3;;;5e23895c-3773-4278-b799-4f596024f69a;NO COMMITMENT TO UNDERTAKE ENVIRONMENTAL IMPACT ASSESSMENT IN SUPPLY CHAINS;No Commitment to Undertake Environmental Impact Assessment in Supply Chains;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;127dc150-099e-410b-b392-b67baa0f30df;NO_COMMITMENT_TO_UNDERTAKE_ENVIRONMENTAL_IMPACT_ASSESSMENT_IN_OWN_OPERATIONS_NEGATIVE_CONDUCT_E_TIER_3;;;5e23895c-3773-4278-b799-4f596024f69a;NO COMMITMENT TO UNDERTAKE ENVIRONMENTAL IMPACT ASSESSMENT IN OWN OPERATIONS;No Commitment to Undertake Environmental Impact Assessment in Own Operations;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;49172f10-afd8-4912-8067-5959671d45ac;COMPANIES_WITH_ONE_OR_MORE_ELEMENTS_OF_POOR_PEATLANDS_MANAGEMENT_NEGATIVE_CONDUCT_E_TIER_2;;;d41c2f7c-c1f0-4c9d-b1a4-590bbf588997;COMPANIES WITH ONE OR MORE ELEMENTS OF POOR PEATLANDS MANAGEMENT;Companies With One or More Elements Of Poor Peatlands Management;NEGATIVE;CONDUCT;E;TIER_2;flags;1
